name,id,tournament_id,date,prizepool,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2
Nili's Apartment Cup 3,2128,108,2020-01-11,41000.0,Semi-Finals,3,28,Hera,2103,4,31,TaToH,2213,1
Arbalet Cup II,2130,140,,10000.0,Semi-Finals,3,210,Halen,2013,2,361,Ugnis,1995,0
Arbalet Cup II,2131,140,,10000.0,Semi-Finals,3,205,Grunt,2059,2,60,Chris,2029,1
Arbalet Cup I,2146,141,2002-04-25,4500.0,Semi-Finals,3,205,Grunt,2058,1,392,Koven,2044,2
Arbalet Cup I,2147,141,2002-04-25,4500.0,Semi-Finals,3,60,Chris,2033,2,381,ChuRchiLL,1915,0
Nili's Apartment Cup 3,2241,108,2020-01-11,41000.0,Semi-Finals,3,29,TheViper,2305,4,19,Yo,2210,2
MFO Clash of the Titans,2278,148,2000-08-31,500.0,Semi-Finals,3,392,Koven,2017,2,393,MoZory,2015,1
MFO Clash of the Titans,2279,148,2000-08-31,500.0,Semi-Finals,3,433,High,2012,2,403,Crexis,1904,1
Red Bull Wololo,3188,169,2020-05-03,22000.0,Semi-Finals,3,25,Liereyy,2188,2,19,Yo,2217,3
Red Bull Wololo,3189,169,2020-05-03,22000.0,Semi-Finals,3,29,TheViper,2294,3,28,Hera,2225,0
Red Bull Wololo 2,3885,216,2020-08-23,30000.0,Semi-Finals,3,19,Yo,2242,2,28,Hera,2270,3
Red Bull Wololo 2,3886,216,2020-08-23,30000.0,Semi-Finals,3,25,Liereyy,2199,3,29,TheViper,2268,1
King of the Desert 3,4079,219,2020-10-24,50000.0,Semi-Finals,3,24,MbL,2193,4,51,Villese,2177,1
King of the Desert 3,4080,219,2020-10-24,50000.0,Semi-Finals,3,19,Yo,2255,3,25,Liereyy,2248,4
Red Bull Wololo 3,4468,239,2021-01-24,30000.0,Semi-Finals,3,25,Liereyy,2269,3,51,Villese,2208,1
Red Bull Wololo 3,4469,239,2021-01-24,30000.0,Semi-Finals,3,1,DauT,2216,3,14,ACCM,2196,1
Red Bull Wololo 4,5841,299,2021-06-27,30000.0,Semi-Finals,3,55,Vinchester,2213,1,25,Liereyy,2268,3
Red Bull Wololo 4,5842,299,2021-06-27,30000.0,Semi-Finals,3,29,TheViper,2357,0,28,Hera,2291,3
The Open Classic,6189,315,2021-07-25,35000.0,Semi-Finals,3,19,Yo,2291,3,31,TaToH,2253,2
The Open Classic,6190,315,2021-07-25,35000.0,Semi-Finals,3,25,Liereyy,2286,3,30,JorDan_23,2184,1
Red Bull Wololo 5,6472,329,2021-09-19,100000.0,Semi-Finals,3,29,TheViper,2331,3,30,JorDan_23,2214,0
Red Bull Wololo 5,6473,329,2021-09-19,100000.0,Semi-Finals,3,25,Liereyy,2295,3,24,MbL,2218,0
HOLY Cup,6635,338,2021-10-10,15000.0,Semi-Finals,3,29,TheViper,2355,0,28,Hera,2320,3
HOLY Cup,6639,338,2021-10-10,15000.0,Semi-Finals,3,25,Liereyy,2317,3,1,DauT,2290,2
King of the Desert 4,6924,345,2021-12-11,75000.0,Semi-Finals,3,25,Liereyy,2338,1,55,Vinchester,2213,4
King of the Desert 4,6925,345,2021-12-11,75000.0,Semi-Finals,3,29,TheViper,2371,4,30,JorDan_23,2256,1
Wandering Warriors Cup,7102,353,2022-02-06,25000.0,Semi-Finals,3,1,DauT,2281,3,55,Vinchester,2256,0
Wandering Warriors Cup,7103,353,2022-02-06,25000.0,Semi-Finals,3,31,TaToH,2324,2,29,TheViper,2376,3
The Resurgence,7776,390,2022-05-21,10000.0,Semi-Finals,3,19,Yo,2335,4,14,ACCM,2248,3
The Resurgence,7777,390,2022-05-21,10000.0,Semi-Finals,3,51,Villese,2307,4,30,JorDan_23,2271,3
RMS Cup 2,8319,405,2022-07-30,18400.0,Semi-Finals,3,19,Yo,2354,4,51,Villese,2341,3
RMS Cup 2,8320,405,2022-07-30,18400.0,Semi-Finals,3,31,TaToH,2360,4,28,Hera,2364,1
T90 Titans League: Platinum League,8339,24,2022-08-07,17300.0,Semi-Finals,3,29,TheViper,2359,1,51,Villese,2335,4
T90 Titans League: Platinum League,8342,24,2022-08-07,17300.0,Semi-Finals,3,28,Hera,2356,2,55,Vinchester,2285,4
Red Bull Wololo: Legacy 2022,9087,489,2022-10-29,200000.0,Semi-Finals,3,25,Liereyy,2331,3,51,Villese,2333,0
Red Bull Wololo: Legacy 2022,9088,489,2022-10-29,200000.0,Semi-Finals,3,31,TaToH,2340,3,28,Hera,2365,1
Warlords,9287,497,2022-11-26,30000.0,Semi-Finals,3,28,Hera,2373,4,55,Vinchester,2326,1
Warlords,9290,497,2022-11-26,30000.0,Semi-Finals,3,29,TheViper,2334,4,25,Liereyy,2364,2
The Grand Melee,9498,507,2022-12-16,100000.0,Semi-Finals,3,31,TaToH,2361,0,28,Hera,2386,4
The Grand Melee,9499,507,2022-12-16,100000.0,Semi-Finals,3,29,TheViper,2364,3,25,Liereyy,2363,4
T90 Titans League 2: Platinum League,9805,513,2023-02-11,17300.0,Semi-Finals,3,25,Liereyy,2354,3,28,Hera,2411,4
T90 Titans League 2: Platinum League,9808,513,2023-02-11,17300.0,Semi-Finals,3,31,TaToH,2353,1,29,TheViper,2370,4
Nili's Apartment Cup 4,10036,536,2023-03-18,52283.0,Semi-Finals,3,28,Hera,2432,5,19,Yo,2367,0
