name,id,tournament_id,prizemoney,Knockout_stage,Knockout_stage_importance,player_1_id,player_1_name,elo_player_1,score_1,player_2_id,player_2_name,elo_player_2,score_2,hidden,s-tier
AoE All-Stars,495,36,3000.0,Group Stage,1,29,TheViper,2379,3,2,miguel,2169,0,False,False
AoE All-Stars,496,36,3000.0,Group Stage,1,31,TaToH,2369,2,1,DauT,2286,1,False,False
Strike the Balance,519,37,1800.0,Group Stage,1,25,Liereyy,2398,4,16,BacT,2129,1,False,False
Strike the Balance,520,37,1800.0,Group Stage,1,27,Nicov,2288,3,1,DauT,2286,2,False,False
Strike the Balance,521,37,1800.0,Group Stage,1,29,TheViper,2379,3,24,MbL,2264,2,False,False
Strike the Balance,522,37,1800.0,Group Stage,1,25,Liereyy,2398,3,27,Nicov,2288,2,False,False
Strike the Balance,523,37,1800.0,Group Stage,1,16,BacT,2129,4,24,MbL,2264,1,False,False
Strike the Balance,524,37,1800.0,Group Stage,1,1,DauT,2286,1,29,TheViper,2379,4,False,False
Strike the Balance,525,37,1800.0,Group Stage,1,29,TheViper,2379,5,16,BacT,2129,0,False,False
Strike the Balance,526,37,1800.0,Group Stage,1,25,Liereyy,2398,2,1,DauT,2286,3,False,False
Strike the Balance,527,37,1800.0,Group Stage,1,24,MbL,2264,0,27,Nicov,2288,5,False,False
Strike the Balance,528,37,1800.0,Group Stage,1,29,TheViper,2379,2,25,Liereyy,2398,3,False,False
Strike the Balance,529,37,1800.0,Group Stage,1,27,Nicov,2288,4,16,BacT,2129,1,False,False
Strike the Balance,530,37,1800.0,Group Stage,1,1,DauT,2286,4,24,MbL,2264,1,False,False
Strike the Balance,531,37,1800.0,Group Stage,1,29,TheViper,2379,4,27,Nicov,2288,1,False,False
Strike the Balance,532,37,1800.0,Group Stage,1,25,Liereyy,2398,5,24,MbL,2264,0,False,False
Strike the Balance,533,37,1800.0,Group Stage,1,16,BacT,2129,1,1,DauT,2286,4,False,False
Elimination Draft,630,47,1000.0,Group Stage,1,27,Nicov,2288,1,33,Tim,2058,1,False,False
Elimination Draft,631,47,1000.0,Group Stage,1,1,DauT,2286,0,31,TaToH,2369,2,False,False
Elimination Draft,632,47,1000.0,Group Stage,1,16,BacT,2129,1,32,slam,2146,1,False,False
Elimination Draft,633,47,1000.0,Group Stage,1,25,Liereyy,2398,0,29,TheViper,2379,2,False,False
Elimination Draft,634,47,1000.0,Group Stage,1,16,BacT,2129,0,33,Tim,2058,2,False,False
Elimination Draft,635,47,1000.0,Group Stage,1,27,Nicov,2288,2,32,slam,2146,0,False,False
Elimination Draft,636,47,1000.0,Group Stage,1,25,Liereyy,2398,1,1,DauT,2286,1,False,False
Elimination Draft,637,47,1000.0,Group Stage,1,31,TaToH,2369,0,29,TheViper,2379,2,False,False
Elimination Draft,638,47,1000.0,Group Stage,1,16,BacT,2129,2,25,Liereyy,2398,0,False,False
Elimination Draft,639,47,1000.0,Group Stage,1,1,DauT,2286,0,32,slam,2146,2,False,False
Elimination Draft,640,47,1000.0,Group Stage,1,33,Tim,2058,1,31,TaToH,2369,1,False,False
Elimination Draft,641,47,1000.0,Group Stage,1,29,TheViper,2379,2,27,Nicov,2288,0,False,False
Nili's Apartment Cup 2,721,58,14000.0,Group Stage,1,31,TaToH,2369,3,30,JorDan_23,2312,2,False,True
Nili's Apartment Cup 2,722,58,14000.0,Group Stage,1,24,MbL,2264,3,5,F1Re,2146,0,False,True
Nili's Apartment Cup 2,723,58,14000.0,Group Stage,1,25,Liereyy,2398,3,27,Nicov,2288,0,False,True
Nili's Apartment Cup 2,724,58,14000.0,Group Stage,1,29,TheViper,2379,3,1,DauT,2286,0,False,True
Nili's Apartment Cup 2,725,58,14000.0,Group Stage,1,27,Nicov,2288,3,30,JorDan_23,2312,0,False,True
Nili's Apartment Cup 2,726,58,14000.0,Group Stage,1,1,DauT,2286,3,5,F1Re,2146,1,False,True
